"lineup","slugTeam","seasonPM","seasonSecs","l_id","Season_mins"
"James Jones, Kyrie Irving, LeBron James, Matthew Dellavedova, Tristan Thompson","CLE",5,260,163,4
"John Jenkins, Kent Bazemore, Mike Muscala, Mike Scott, Shelvin Mack","ATL",5,52,164,0
"JR Smith, Kevin Love, Kyrie Irving, LeBron James, Tristan Thompson","CLE",5,1054,165,17
"JR Smith, Kyrie Irving, LeBron James, Timofey Mozgov, Tristan Thompson","CLE",5,1706,166,28
"Kawhi Leonard, Manu Ginobili, Matt Bonner, Patty Mills, Tim Duncan","SAS",5,97,167,1
"Aaron Brooks, Jimmy Butler, Joakim Noah, Taj Gibson, Tony Snell","CHI",4,198,168,3
"Allen Crabbe, Alonzo Gee, Joel Freeland, Meyers Leonard, Tim Frazier","POR",4,182,169,3
"Amar'e Stoudemire, Dirk Nowitzki, J.J. Barea, Monta Ellis, Richard Jefferson","DAL",4,35,170,0
"Andre Iguodala, Draymond Green, Klay Thompson, Leandro Barbosa, Stephen Curry","GSW",4,160,171,2
"Andre Iguodala, Festus Ezeli, Harrison Barnes, Shaun Livingston, Stephen Curry","GSW",4,1167,172,19
"Andre Iguodala, Harrison Barnes, Leandro Barbosa, Marreese Speights, Shaun Livingston","GSW",4,669,173,11
"Anthony Davis, Eric Gordon, Jrue Holiday, Ryan Anderson, Tyreke Evans","NOP",4,14,174,0
"Aron Baynes, Boris Diaw, Danny Green, Manu Ginobili, Tony Parker","SAS",4,54,175,0
"Aron Baynes, Danny Green, Kawhi Leonard, Tim Duncan, Tony Parker","SAS",4,308,176,5
"Austin Rivers, Blake Griffin, Chris Paul, Jamal Crawford, Spencer Hawes","LAC",4,295,177,4
"Avery Bradley, Evan Turner, Gigi Datome, Jonas Jerebko, Tyler Zeller","BOS",4,165,178,2
"Avery Bradley, Evan Turner, Isaiah Thomas, Jared Sullinger, Kelly Olynyk","BOS",4,202,179,3
"Avery Bradley, Evan Turner, Jae Crowder, Kelly Olynyk, Tyler Zeller","BOS",4,326,180,5
"Avery Bradley, Isaiah Thomas, Jae Crowder, Jonas Jerebko, Kelly Olynyk","BOS",4,199,181,3
"Beno Udrih, Courtney Lee, Jeff Green, Marc Gasol, Tony Allen","MEM",4,157,182,2
"Beno Udrih, Jeff Green, Kosta Koufos, Tony Allen, Vince Carter","MEM",4,1430,183,23
"Beno Udrih, Kosta Koufos, Marc Gasol, Tony Allen, Vince Carter","MEM",4,123,184,2
"Blake Griffin, Chris Paul, DeAndre Jordan, Jamal Crawford, Matt Barnes","LAC",4,906,185,15
"Blake Griffin, DeAndre Jordan, Jamal Crawford, Lester Hudson, Matt Barnes","LAC",4,72,186,1
"Bradley Beal, Drew Gooden, John Wall, Kevin Seraphin, Otto Porter Jr.","WAS",4,595,187,9
"Bradley Beal, Kevin Seraphin, Marcin Gortat, Otto Porter Jr., Ramon Sessions","WAS",4,160,188,2
"Chris Paul, DeAndre Jordan, Glen Davis, JJ Redick, Matt Barnes","LAC",4,217,189,3
"Courtney Lee, Jeff Green, Marc Gasol, Mike Conley, Vince Carter","MEM",4,307,190,5
"Courtney Lee, Jordan Adams, Marc Gasol, Mike Conley, Zach Randolph","MEM",4,187,191,3
"Dahntay Jones, Ekpe Udoh, Hedo Turkoglu, Lester Hudson, Spencer Hawes","LAC",4,307,192,5
"Danny Green, Marco Belinelli, Tiago Splitter, Tim Duncan, Tony Parker","SAS",4,160,193,2
"David Lee, Harrison Barnes, Klay Thompson, Shaun Livingston, Stephen Curry","GSW",4,63,194,1
"DeMarre Carroll, Jeff Teague, Mike Scott, Pero Antic, Shelvin Mack","ATL",4,184,195,3
"Devin Harris, Dirk Nowitzki, Monta Ellis, Richard Jefferson, Tyson Chandler","DAL",4,234,196,3
"Draymond Green, Harrison Barnes, Klay Thompson, Leandro Barbosa, Stephen Curry","GSW",4,143,197,2
"Evan Turner, Isaiah Thomas, Jae Crowder, Jared Sullinger, Kelly Olynyk","BOS",4,45,198,0
"Garrett Temple, Marcin Gortat, Otto Porter Jr., Paul Pierce, Ramon Sessions","WAS",4,194,199,3
"Giannis Antetokounmpo, John Henson, Khris Middleton, Michael Carter-Williams, O.J. Mayo","MIL",4,1369,200,22
"Iman Shumpert, James Jones, JR Smith, Matthew Dellavedova, Timofey Mozgov","CLE",4,701,201,11
"Iman Shumpert, James Jones, LeBron James, Matthew Dellavedova, Tristan Thompson","CLE",4,914,202,15
"Iman Shumpert, LeBron James, Matthew Dellavedova, Mike Miller, Timofey Mozgov","CLE",4,231,203,3
"James Harden, Jason Terry, Josh Smith, Nick Johnson, Trevor Ariza","HOU",4,123,204,2
"James Jones, Joe Harris, Kendrick Perkins, Mike Miller, Shawn Marion","CLE",4,205,205,3
