Rk,Lineup,Lineup_2,Lineup_3,Lineup_4,Lineup_5,Tm,Season,G,MP,TM,OPP,Pace,FG,FGA,FG%,3P,3PA,3P%,EFG%,FT,FTA,FT%,PTS%
6735,A. Ajinça,D. Cunningham,A. Davis,Q. Pondexter,N. Wolters,NOP,2014-15,1,3.7,7,6,84.3,0,-2,0.114,0,0,0.114,0.114,0,0,0,0
6736,C. Budinger,R. Hummel,Z. LaVine,N. Pekovic,T. Young,MIN,2014-15,1,0.8,1,1,58.8,0,1,-0.5,0,0,-0.5,-0.5,0,0,0,0
6737,D. Cunningham,A. Davis,T. Evans,Q. Pondexter,N. Wolters,NOP,2014-15,1,0.1,0,1,288,0,-1,0,0,-1,0,0,0,0,0,0
6738,C. Aldrich,C. Anthony,J. Calderón,T. Hardaway,L. Thomas,NYK,2014-15,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6739,C. Aldrich,C. Anthony,T. Hardaway,P. Prigioni,L. Thomas,NYK,2014-15,1,2.4,4,3,70,0,2,-0.267,0,1,-0.267,-0.267,0,0,0,0
6740,C. Aldrich,C. Early,T. Hardaway,P. Prigioni,L. Thomas,NYK,2014-15,1,3.6,9,9,121.1,-2,0,-0.333,0,2,-0.25,-0.333,4,4,0,0
6741,L. Amundson,C. Anthony,T. Hardaway,P. Prigioni,L. Thomas,NYK,2014-15,1,3,6,7,104,1,0,0.2,-2,-3,0,0,0,0,0,0
6742,M. Carter-Williams,J. Grant,N. Noel,H. Sims,H. Thompson,PHI,2014-15,1,0.7,1,2,105.4,0,-3,0,0,-2,0,0,0,0,0,0
6743,B. Diaw,D. Green,J. Green,C. Joseph,J. Ayres,SAS,2014-15,1,0.2,0,1,144,0,0,0,0,0,0,0,0,-2,0,0
6744,P. Hairston,A. Jefferson,M. Kidd-Gilchrist,B. Roberts,M. Williams,CHO,2014-15,1,1.1,3,3,130.9,0,1,-0.167,0,0,-0.167,-0.167,0,0,0,0
6745,A. Jefferson,M. Kidd-Gilchrist,J. Maxiell,G. Neal,L. Stephenson,CHO,2014-15,1,0.3,1,0,96,0,1,0,0,0,0,0,0,0,0,0
6746,F. Aldemir,M. Carter-Williams,L. Mbah a Moute,K. McDaniels,J. Sampson,PHI,2014-15,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6747,F. Aldemir,L. Drew,J. Grant,K. McDaniels,M. Thomas,PHI,2014-15,1,3.4,7,7,99.3,0,0,0,0,1,0,0,0,0,0,0
6748,R. Covington,L. Drew,J. Grant,K. McDaniels,H. Thompson,PHI,2014-15,2,0.9,2,0,56.5,0,2,0,0,2,0,0,0,0,0,0
6749,L. Aldridge,S. Blake,A. Crabbe,D. Lillard,T. Robinson,POR,2014-15,1,0.8,2,2,122.6,1,1,0.5,0,0,0.5,0.5,-2,-2,0,0
6750,R. Butler,M. Gortat,K. Humphries,A. Miller,M. Webster,WAS,2014-15,2,2.3,5,6,117.3,-1,-1,-0.167,0,0,0,-0.167,2,2,0,0
6751,A. Anderson,J. Jack,J. Jordan,S. Karasev,B. Lopez,BRK,2014-15,1,1,3,3,141.6,-1,1,-0.5,0,0,0,-0.5,2,2,0,0
6752,K. Bazemore,A. Horford,M. Scott,T. Sefolosha,J. Teague,ATL,2014-15,1,2.7,4,5,81,0,0,0,0,1,0,0,0,0,0,0
6753,R. Hummel,Z. LaVine,N. Pekovic,A. Wiggins,T. Young,MIN,2014-15,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6754,K. Irving,S. Marion,T. Mozgov,I. Shumpert,T. Thompson,CLE,2014-15,1,0.9,1,2,77.1,0,0,0,0,-1,0,0,0,0,0,0
6755,L. James,S. Marion,I. Shumpert,J. Smith,T. Thompson,CLE,2014-15,1,0,0,1,1440,0,-1,0,0,-1,0,0,0,0,0,0
6756,M. Gortat,K. Humphries,P. Pierce,O. Porter,J. Wall,WAS,2014-15,3,3.8,8,10,113.2,3,3,0.214,0,-4,0.214,0.214,-6,-6,0,0
6757,B. Bass,A. Bradley,P. Pressey,T. Prince,J. Sullinger,BOS,2014-15,1,0.7,1,2,102.9,1,0,1,0,-1,1,1,-2,-2,0,0
6758,B. Bass,A. Bradley,P. Pressey,J. Young,T. Zeller,BOS,2014-15,1,0.3,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
6759,A. Bradley,P. Pressey,T. Prince,G. Wallace,T. Zeller,BOS,2014-15,1,0.3,1,0,72,0,1,0,0,0,0,0,0,0,0,0
6760,A. Bradley,P. Pressey,G. Wallace,J. Young,T. Zeller,BOS,2014-15,1,1.1,3,3,135,-1,0,-0.5,0,0,-0.5,-0.5,2,2,0,0
6761,T. Prince,J. Sullinger,M. Thornton,E. Turner,G. Wallace,BOS,2014-15,1,1.7,4,3,99.8,0,-2,0,0,-1,0,0,0,0,0,0
6762,T. Ariza,C. Brewer,C. Capela,J. Smith,J. Terry,HOU,2014-15,1,0.5,1,2,160,0,1,0,0,0,0,0,0,0,0,0
6763,J. Clarkson,J. Hill,W. Johnson,J. Lin,R. Sacre,LAL,2014-15,1,0.7,1,1,70.2,0,0,0,0,-1,0,0,0,0,0,0
6764,A. Aminu,T. Chandler,D. Harris,R. Jefferson,R. Rondo,DAL,2014-15,1,0.7,2,2,134,1,0,1,0,0,1,1,-2,-2,0,0
6765,A. Aminu,M. Ellis,R. Jefferson,D. Powell,R. Rondo,DAL,2014-15,1,1.8,3,4,96,0,-2,0.25,0,0,0.25,0.25,0,0,0,0
6766,R. Anderson,A. Davis,T. Evans,J. Fredette,E. Gordon,NOP,2014-15,2,1.2,3,2,100,-1,-3,-0.2,0,0,0,-0.2,2,2,0,0
6767,G. Hill,I. Mahinmi,D. Rudez,C. Watson,D. West,IND,2014-15,1,3.4,6,7,90.9,1,0,0.2,1,1,0.3,0.3,-3,-5,0,0
6768,B. Diaw,M. Ginóbili,C. Joseph,K. Leonard,P. Mills,SAS,2014-15,1,0.1,1,0,480,0,1,0,0,1,0,0,0,0,0,0
6769,F. Aldemir,R. Covington,L. Mbah a Moute,K. McDaniels,J. Sampson,PHI,2014-15,1,0.3,1,1,192,0,0,0,0,0,0,0,0,0,0,0
6770,R. Anderson,A. Davis,E. Gordon,Q. Pondexter,J. Salmons,NOP,2014-15,1,0.5,1,1,90,1,2,0,0,0,-2,-2,-2,-2,0,0
6771,R. Anderson,A. Davis,Q. Pondexter,J. Salmons,N. Wolters,NOP,2014-15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
