"lineup","slugTeam","seasonPM","seasonSecs","l_id","Season_mins"
"Amir Johnson, DeMar DeRozan, Kyle Lowry, Patrick Patterson, Terrence Ross","TOR",23,3893,137,64
"Andrew Wiggins, Gorgui Dieng, Mo Williams, Shabazz Muhammad, Thaddeus Young","MIN",23,4819,138,80
"Arron Afflalo, Damian Lillard, LaMarcus Aldridge, Nicolas Batum, Wesley Matthews","POR",23,788,139,13
"Arron Afflalo, Darrell Arthur, Jusuf Nurkic, Kenneth Faried, Ty Lawson","DEN",23,1135,140,18
"Ben McLemore, Darren Collison, DeMarcus Cousins, Omri Casspi, Rudy Gay","SAC",23,3180,141,53
"Carlos Boozer, Ed Davis, Jeremy Lin, Wayne Ellington, Wesley Johnson","LAL",23,3214,142,53
"Chandler Parsons, Devin Harris, Jae Crowder, Monta Ellis, Tyson Chandler","DAL",23,743,143,12
"CJ Miles, George Hill, Luis Scola, Rodney Stuckey, Roy Hibbert","IND",23,1273,144,21
"Cody Zeller, Gerald Henderson, Jason Maxiell, Kemba Walker, Michael Kidd-Gilchrist","CHA",23,536,145,8
"Dante Exum, Derrick Favors, Gordon Hayward, Rodney Hood, Rudy Gobert","UTA",23,9670,146,161
"Eric Bledsoe, Gerald Green, Goran Dragic, Markieff Morris, P.J. Tucker","PHX",23,2498,147,41
"Eric Bledsoe, Goran Dragic, Marcus Morris Sr., Markieff Morris, Miles Plumlee","PHX",23,14249,148,237
"Jordan Clarkson, Jordan Hill, Tarik Black, Wayne Ellington, Wesley Johnson","LAL",23,7946,149,132
"Aaron Brooks, Jimmy Butler, Nikola Mirotic, Taj Gibson, Tony Snell","CHI",22,1628,150,27
"Amir Johnson, DeMar DeRozan, Jonas Valanciunas, Kyle Lowry, Terrence Ross","TOR",22,23405,151,390
"Amir Johnson, Greivis Vasquez, Lou Williams, Patrick Patterson, Terrence Ross","TOR",22,2448,152,40
"Andre Drummond, Anthony Tolliver, D.J. Augustin, Kentavious Caldwell-Pope, Kyle Singler","DET",22,895,153,14
"Anthony Morrow, Dion Waiters, Mitch McGary, Nick Collison, Russell Westbrook","OKC",22,582,154,9
"Ben Gordon, Channing Frye, Devyn Marble, Elfrid Payton, Evan Fournier","ORL",22,698,155,11
"Beno Udrih, Jon Leuer, Kosta Koufos, Nick Calathes, Tony Allen","MEM",22,4025,156,67
"Blake Griffin, Chris Paul, Jamal Crawford, JJ Redick, Matt Barnes","LAC",22,1163,157,19
"Boris Diaw, Kawhi Leonard, Manu Ginobili, Tiago Splitter, Tony Parker","SAS",22,1092,158,18
"Bradley Beal, Drew Gooden, Marcin Gortat, Paul Pierce, Ramon Sessions","WAS",22,1182,159,19
"Brandan Wright, Eric Bledsoe, Gerald Green, Marcus Morris Sr., Markieff Morris","PHX",22,1338,160,22
"Brandon Knight, Giannis Antetokounmpo, Jared Dudley, John Henson, Khris Middleton","MIL",22,7444,161,124
"Brandon Knight, Giannis Antetokounmpo, Jerryd Bayless, Khris Middleton, Zaza Pachulia","MIL",22,1292,162,21
"C.J. Watson, Chris Copeland, CJ Miles, David West, Lavoy Allen","IND",22,877,163,14
"C.J. Watson, Chris Copeland, CJ Miles, Lavoy Allen, Luis Scola","IND",22,2259,164,37
