"idGame","slugTeam","lineup","lineupStint","initialScoreTeam","initialScoreOpp","finalScoreTeam","finalScoreOpp","initialTime","finalTime","totalScoreTeam","totalScoreOpp","netScoreTeam","totalTime"
"41400102","BKN","Alan Anderson, Bojan Bogdanovic, Jarrett Jack, Joe Johnson, Mason Plumlee",8,40,36,42,38,1077,1193,2,2,0,116
"41400102","ATL","Jeff Teague, Kyle Korver, Mike Scott, Paul Millsap, Shelvin Mack",9,36,40,36,40,1077,1077,0,0,0,0
"41400102","BKN","Alan Anderson, Bojan Bogdanovic, Brook Lopez, Jarrett Jack, Joe Johnson",9,42,38,45,43,1193,1275,3,5,-2,82
"41400102","ATL","Jeff Teague, Mike Scott, Paul Millsap, Pero Antic, Shelvin Mack",10,36,40,36,40,1077,1077,0,0,0,0
"41400102","BKN","Alan Anderson, Bojan Bogdanovic, Brook Lopez, Deron Williams, Joe Johnson",10,45,43,45,48,1275,1372,0,5,-5,97
"41400102","ATL","DeMarre Carroll, Jeff Teague, Paul Millsap, Pero Antic, Shelvin Mack",11,36,40,38,42,1077,1193,2,2,0,116
"41400102","BKN","Alan Anderson, Bojan Bogdanovic, Brook Lopez, Jarrett Jack, Joe Johnson",11,45,48,45,48,1372,1372,0,0,0,0
"41400102","ATL","DeMarre Carroll, Jeff Teague, Kyle Korver, Paul Millsap, Pero Antic",12,38,42,40,43,1193,1236,2,1,1,43
"41400102","BKN","Bojan Bogdanovic, Brook Lopez, Jarrett Jack, Joe Johnson, Thaddeus Young",12,45,48,47,50,1372,1440,2,2,0,68
"41400102","ATL","Al Horford, DeMarre Carroll, Jeff Teague, Kyle Korver, Paul Millsap",13,40,43,60,59,1236,1849,20,16,4,613
"41400102","BKN","Bojan Bogdanovic, Brook Lopez, Deron Williams, Joe Johnson, Thaddeus Young",13,47,50,61,64,1440,1907,14,14,0,467
"41400102","ATL","DeMarre Carroll, Jeff Teague, Kyle Korver, Paul Millsap, Pero Antic",14,60,59,60,59,1849,1849,0,0,0,0
"41400102","BKN","Alan Anderson, Brook Lopez, Deron Williams, Joe Johnson, Thaddeus Young",14,61,64,61,64,1907,1907,0,0,0,0
"41400102","ATL","DeMarre Carroll, Jeff Teague, Kent Bazemore, Paul Millsap, Pero Antic",15,60,59,64,61,1849,1907,4,2,2,58
"41400102","BKN","Alan Anderson, Brook Lopez, Jarrett Jack, Joe Johnson, Thaddeus Young",15,61,64,61,64,1907,1959,0,0,0,52
"41400102","ATL","DeMarre Carroll, Dennis Schroder, Kent Bazemore, Paul Millsap, Pero Antic",16,64,61,66,61,1907,1980,2,0,2,73
"41400102","BKN","Alan Anderson, Brook Lopez, Jarrett Jack, Joe Johnson, Mason Plumlee",16,61,64,61,66,1959,1982,0,2,-2,23
