"namePlayer","idGame","slugTeam","totalPlusMinus","totalSecs"
"Mike Miller","41400304","CLE",4,326
"Nene","41400132","WAS",4,1495
"Nick Calathes","41400224","MEM",4,180
"Pau Gasol","41400122","CHI",4,2015
"Paul Millsap","41400301","ATL",4,2265
"Pero Antic","41400102","ATL",4,782
"Pero Antic","41400202","ATL",4,1178
"Robin Lopez","41400173","POR",4,1641
"Shaun Livingston","41400222","GSW",4,752
"Shaun Livingston","41400313","GSW",4,1134
"Shawn Marion","41400304","CLE",4,205
"Spencer Hawes","41400234","LAC",4,556
"Stephen Curry","41400401","GSW",4,2559
"Terrence Jones","41400152","HOU",4,1348
"Terrence Jones","41400153","HOU",4,1482
"Thaddeus Young","41400101","BKN",4,2372
"Tim Frazier","41400171","POR",4,182
"Tristan Thompson","41400211","CLE",4,2221
"Vince Carter","41400173","MEM",4,1026
"Zach Randolph","41400173","MEM",4,1944
"Al-Farouq Aminu","41400151","DAL",3,1113
"Alexis Ajinca","41400141","NOP",3,221
"Andre Iguodala","41400221","GSW",3,1782
"Anthony Davis","41400143","NOP",3,2775
"Aron Baynes","41400164","SAS",3,49
"Bernard James","41400152","DAL",3,111
"CJ McCollum","41400173","POR",3,1595
"Clint Capela","41400231","HOU",3,344
"Clint Capela","41400234","HOU",3,700
"Cory Joseph","41400164","SAS",3,52
"Courtney Lee","41400172","MEM",3,1988
"Dante Cunningham","41400143","NOP",3,980
"DeAndre Jordan","41400232","LAC",3,1506
"Dennis Schroder","41400202","ATL",3,897
"Dennis Schroder","41400203","ATL",3,1170
"Deron Williams","41400103","BKN",3,1562
"Deron Williams","41400104","BKN",3,2748
"Draymond Green","41400401","GSW",3,2335
"Dwight Powell","41400152","DAL",3,111
"Festus Ezeli","41400221","GSW",3,676
"Festus Ezeli","41400226","GSW",3,149
"Festus Ezeli","41400401","GSW",3,731
"Iman Shumpert","41400114","CLE",3,2252
"JaMychal Green","41400221","MEM",3,35
"JaMychal Green","41400224","MEM",3,196
"Jared Dudley","41400123","MIL",3,1231
"Jeff Ayres","41400164","SAS",3,49
"Jimmy Butler","41400125","CHI",3,2788
"JJ Redick","41400167","LAC",3,2510
